date,population,admission,release,los_1_day,los_2-3_days,los_4-7_days,los_8-14_days,los_15-30_days,los_31-60_days,los_61-90_days,los_91-182_days,los_183-365_days,los_365+_days
2020-03-01,122093.53119481954,2474.31620273381,2042.5743933999029,577,395,120,171,106,33,0,0,0,0
2020-03-02,122253.76750964797,2202.8107082283154,4096.873076698586,669,867,475,304,274,108,0,0,0,0
2020-03-03,121386.03812801068,3229.1436950613024,3795.22252370657,677,286,413,272,286,118,0,0,0,0
2020-03-04,120985.09472747645,3394.27912317234,3053.381047972063,839,313,347,259,231,104,6,0,0,0
2020-03-05,120968.2493126617,3036.53563315732,3877.0241852269646,821,686,327,349,358,161,3,0,0,0
2020-03-06,120705.91635010058,3614.6912226658505,3639.7384009132393,1034,623,279,294,290,143,10,0,0,0
2020-03-07,120881.5940084545,3815.4160592671574,1638.636969936808,633,218,129,115,92,31,1,0,0,0
2020-03-08,121590.10654335163,2347.1495048339366,1871.9408293838128,634,403,133,152,129,46,3,0,0,0
2020-03-09,121788.91860781866,2070.7528938508335,3990.9475743629714,714,939,580,257,320,155,20,0,0,0
2020-03-10,121138.68008494198,3340.7090514863016,3623.9446460412933,902,376,595,267,366,164,19,0,0,0
2020-03-11,120934.50373947124,3419.7683005705508,3939.5751879132144,973,428,490,406,396,189,17,0,0,0
2020-03-12,120366.27525935354,3371.3467077955097,3406.246616484643,860,478,326,339,323,200,19,0,0,0
2020-03-13,120217.96238770144,3257.9337448325464,3675.3526770907038,899,602,347,368,367,189,21,0,0,0
2020-03-14,119772.83975173958,3230.230041128843,1682.770259508286,624,213,106,120,113,50,6,0,0,0
2020-03-15,120222.60905716965,2132.5395649383668,1994.2841445067297,592,315,132,182,150,50,9,0,0,0
2020-03-16,120100.84751825346,1872.522605590525,4626.494289434266,666,977,721,483,488,250,34,0,0,0
2020-03-17,117666.57329817783,2192.220069358641,4282.15950682557,662,379,742,579,452,326,59,0,0,0
2020-03-18,115362.5247698018,1978.11097844955,3766.824772932013,608,364,506,449,541,249,44,0,0,0
2020-03-19,113373.36419660786,1777.6641997380655,3665.277153884394,538,363,335,482,539,296,52,0,0,0
2020-03-20,111320.37029008058,1612.283247357113,3266.5953357025755,569,281,266,456,508,231,42,0,0,0
2020-03-21,109506.70971688663,1452.9347625086282,1180.9342245914647,346,104,71,113,117,61,10,0,0,0
2020-03-22,109396.86631540986,1071.0908231146889,1174.1780748588442,278,111,49,122,133,73,23,0,0,0
2020-03-23,109108.4918978903,885.8036573392877,3079.284723953732,380,423,329,380,387,282,50,0,0,0
2020-03-24,107215.37316218893,1186.1659882523572,3052.232830014338,386,151,240,340,492,349,64,0,0,0
2020-03-25,105481.83489185551,1318.6945596809287,2552.3875919191,415,137,194,272,397,281,60,0,0,0
2020-03-26,104020.92757390306,1091.480273966643,2336.5955284270362,355,171,142,221,387,258,46,0,0,0
2020-03-27,102875.76946229981,1191.4374168237857,2173.9288617603697,378,164,98,187,331,230,45,0,0,0
2020-03-28,101824.69468402989,1122.8540834904525,841.7278516593597,243,70,30,42,84,42,13,0,0,0
2020-03-29,102020.69515828523,1037.7283259146948,919.7702759017839,276,93,42,45,59,53,9,0,0,0
2020-03-30,101984.99563254057,884.070750157119,2115.992498124006,337,375,167,142,236,232,50,0,0,0
